objectid,code,X,Y
112,104ZBW,167562.015000001,418023.704999998
113,253LEA,181495.881000001,391344.390000001
114,253LFH,181705.412999999,391597.039999999
115,211ADL,174906.690000001,402043.815000001
116,104LGS,174916.210999999,417476.033
117,117MRH,146803.324000001,414410.210999999
118,116BRA,146578.965,411603.682
119,217BKK,164464.077,398219.210999999
120,205LFT,154914.021000002,412446.432
121,217KDZ,160630.813000001,405852.076000001
122,211BKW,172223.378699999,401327.8794
123,211UWE,172112.434999999,401132.868999999
124,204MRS,161091.528000001,408357.749000002
125,AKW15B,194356.781,407453.750999998
126,204CHA,164633.107000001,409776.960000001
127,204FM,169518.129799999,409902.8915
128,211EA,165405.432399999,407610.561099999
129,211JC,171165.822000001,405748.945
130,211JN,171631.048,406655.070999999
131,211MJ,175756.638,402781.912000001
132,211MO,175414.511999998,402558.041000001
133,211MT,176248.877,404095.502999999
134,234CK,170762.101799998,395216.593400002
135,234CPC,170057.243999999,393675.195
136,234GH,173352.098000001,384257.129000001
137,251CMA,179592.001600001,394646.486400001
138,251N,182284.574999999,396646.940000001
139,261BAB,179369.0,389670.863000002
1,114LAC,190195.875,396712.958999999
2,217IA,166256.374000002,397535.719999999
3,205WAO,153820.2469,411770.604499999
4,205WAP,153819.297200002,411772.294799998
5,205WAQ,153818.213399999,411773.803199999
6,104CUM,167570.3541,421140.415300001
7,101HGW,154063.0913,422253.133099999
8,119GES,150848.643599998,409840.657000002
9,119OSW,150848.596299998,409842.602299999
10,119OGW,150848.548700001,409844.52
11,EKW6,197221.357099999,402968.178199999
12,108A20,182857.761,415603.374000002
13,275K,187353.708999999,376758.438000001
14,275M,188270.864999998,374342.469000001
15,279A,177017.919,381507.055
16,279G,181259.623,380079.280000001
17,279H,181900.083999999,379488.695999999
18,280SC,176757.039500002,381077.875300001
19,292B,181969.405000001,375467.861000001
20,211A,158086.576000001,408083.478999998
21,256AA,174126.445500001,393404.364700001
22,254AA,172680.625999998,395401.267999999
23,275HG,187621.388099998,379840.9881
24,261FF,182430.475000001,388639.721000001
25,261E,179694.861000001,388565.195999999
26,204HN,167262.969999999,412105.758000001
27,204AL,154929.708000001,412469.691
28,234FF,176233.323399998,383283.155499999
29,261BAD,180389.125999998,390185.539000001
30,204BHA,158272.756000001,409562.975000002
31,204BKA,162522.195999999,413854.293000001
32,204C,158659.210000001,412416.442000002
33,201S,180703.390999999,373184.783
34,261CZA,188927.441199999,384271.983399998
35,201MOL,157387.5484,407486.7962
36,211HIA,170570.858399998,409435.352400001
37,217EI,166782.41,398153.265000001
38,114CWB,187158.241999999,401485.82
39,217K,166338.09,396603.423
40,AKW112,191529.550000001,414033.43
41,114BYS,195568.416999999,401483.963
42,234A,168070.863000002,399644.473999999
43,102MEE,149843.968199998,415993.117400002
44,EKW1a,197563.193100002,402594.716200002
45,250E,175727.940000001,399008.475000002
46,217GRT,168567.295600001,398091.497400001
47,225B,164070.044,404444.274
48,203IA,157553.102000002,405821.969999999
49,204CF,163943.186999999,410933.046999998
50,204CT,163495.491799999,408708.035399999
51,204EE,166250.285,415443.065000001
52,204FD,166731.668000001,410156.695
53,204S,170796.373,412143.421
54,205BAA,153868.694800001,411787.134100001
55,211JQ,172396.888999999,407705.136999998
56,211JR,172598.456999999,407761.252999999
57,211KC,172559.653999999,405218.175999999
58,211M,172248.624899998,402671.740200002
59,211MA,172787.802999999,402775.769000001
60,211MF,174689.370999999,403119.195
61,211NC,174375.113499999,402116.864399999
62,114PPS,188739.943999998,402099.572000001
63,234BSW,169210.872000001,398315.238000002
64,234CPD,170761.0288,393070.794799998
65,251CC,176853.491,397263.142999999
66,251J,177850.899999999,397710.293000002
67,253OUD,176095.252999999,393930.838
68,253BE,173761.899,396028.057999998
69,251T,186422.291999999,393408.272
70,253LC,180336.109000001,391489.658
71,253R,183780.745999999,391261.695
72,257IA,173518.763,392440.239
73,AKW609b,161802.853100002,423748.114
74,261BID,184280.815000001,383628.651000001
75,261BM,184340.548,382763.752999999
76,261BS,184855.749000002,382230.853999998
77,261H,182412.079999998,389099.618000001
78,261JP,186466.829,389080.949999999
79,275GA,185625.432,380628.962000001
80,AKW609a,161806.153000001,423745.543099999
81,275JF,190004.638,375192.23
82,276A,176901.191,382734.701000001
83,292BKS,181217.851100002,374468.675000001
84,104SRO,175836.9683,418563.026099999
85,204PAM,169569.183200002,413680.053199999
86,204PLM,169646.7051,413951.1516
87,204SLA,169124.749299999,413335.6274
88,204AKA,161767.271000002,415793.806000002
89,108WRW,183881.083999999,409103.379000001
90,108MSV,181494.052000001,414915.647
91,120VBL,151390.589000002,412094.866
92,204KOU,168477.767999999,412692.495999999
93,116PKS,149125.241999999,411504.800000001
94,116SGK,149123.355,411471.872000001
95,102AVO,150223.258000001,412143.16
96,102OHL,150223.076000001,412144.041999999
97,FKW1,195592.320999999,404535.541000001
98,108JVC,179519.776999999,418860.809999999
99,206ZWV,156114.260000002,408022.760000002
100,205KLS,153127.929000001,412305.745999999
101,205GVN,158077.8675,408114.2784
102,205BGS,157044.405200001,407728.796999998
103,105MPD,175077.125,412656.024
104,105MKP,175222.989,412389.603
105,201HAM,167017.061999999,400772.772
106,230HHC,165965.381999999,401825.221000001
107,230BAB,166621.782000002,401689.054000001
108,232HHB,166120.526000001,401369.596000001
109,115KEE,176416.728,420927.77
110,107PPW,180475.138999999,408331.096999999
111,217JC,165895.888,395474.555
140,261BIC,183422.287999999,383666.476
141,261BN,185014.941,382677.93
142,261BO,185200.09,382675.158
143,261CQ,185709.414999999,387635.083999999
144,261FA,180775.195,388975.375
145,268A,176275.934,386282.232000001
146,275DA,181228.793000001,381804.436999999
147,275EA,181814.232000001,381484.789999999
148,275JK,189569.533,377399.287
149,261JIB,187270.119600002,391016.388700001
150,275EB,181838.640000001,381441.175000001
151,279D,178338.386999998,381329.085999999
152,275BF,179619.752999999,384512.846999999
153,261CQC,186439.596000001,388010.517999999
154,103BUS,162016.116,418283.936999999
155,AKW919b,140074.097100001,417024.519099999
156,102CSS,151129.409000002,414548.947000001
157,105AKS,174719.353,410940.096000001
158,211BVP,158665.280200001,408460.107900001
159,102RDK,152793.5385,418138.757599998
160,102RSS,152793.977699999,418138.783399999
161,U2B2KW25HV1,154538.690299999,410404.2335
162,292KOK,182209.671999998,372810.888900001
163,211HGD,168755.618000001,408652.340999998
164,275JH,188523.502,377115.098999999
165,104FPW,174601.658,417724.460000001
166,104FVV,171740.427999999,418764.333000001
167,204BN,158975.414000001,412424.436000001
168,204CD,162570.241,411849.298
169,204CG,164405.495000001,410673.614999998
222,211HCA,169079.901999999,408194.340999998
223,211LI,173440.059900001,404253.033100002
224,211LS,173274.285,405096.318999998
225,211MB,173224.864999998,402877.306000002
226,211MQ,175300.620000001,404446.627
227,234F,173716.355,385290.197000001
228,234FG,176345.239,382924.837000001
229,246C,174451.421999998,400077.798
230,248A,173623.891100001,399354.739100002
231,248G,176009.177999999,399491.838
232,251CLA,178613.816,394240.987
233,251NB,182878.041999999,396822.078000002
234,253J,177923.278999999,393046.682999998
235,261HA,183440.473999999,389714.274
236,261JI,187130.6657,391299.5986
237,261JK,184686.037,389808.838
238,275CA,180719.541999999,382428.296999998
239,275JE,190005.793000001,375192.701000001
240,108KSS,188043.026000001,404271.445
241,213B,160225.306400001,407257.144299999
242,217KB,167587.988000002,395108.934999999
243,234PRP,170654.397599999,390416.1094
244,234PRN,170756.461199999,390255.997000001
245,234CL,170504.243999999,395091.522999998
246,204J,166835.895,411511.092999999
170,204G,165440.227699999,412681.982900001
171,104FMV,170896.960999999,417686.971000001
172,204Q,170044.473000001,411785.741999999
173,211HB,168412.204999998,409012.75
174,211HJ,170898.710999999,409441.127999999
175,211JB,170522.074000001,406520.921
176,108LOS,190233.012699999,410563.028999999
177,211MH,175139.98,403336.511
178,211MP,175821.407000002,402611.609000001
179,211MR,175697.226,404582.364
180,211MZ,177401.453000002,402550.401000001
181,211ND,173319.1842,401610.824099999
182,108Z,184125.396000002,408821.105999999
183,204EKS,169787.156100001,411521.951099999
184,108ZAA,183442.798999999,408343.526999999
185,104FTV,171389.831999999,418607.645
186,110SAR,188019.1556,402596.131200001
187,234FL,173721.677999999,385299.500999998
188,245A,173162.822999999,400157.901000001
189,248J,177809.874000002,399893.322999999
190,251NA,182608.366999999,396511.778999999
191,253GB,176950.646000002,392110.548999999
192,253GG,178489.031,391751.791000001
193,253P,183056.807,391530.464000002
194,261BIF,184773.458999999,383645.039999999
195,107ECS,178816.795000002,408653.657000002
196,261BIN,182898.594000001,383627.192000002
197,261CL,186249.920000002,386105.59
198,261CTA,185408.787799999,384769.412799999
199,261BIG,185518.511999998,383653.989999998
200,261BRA,188149.462000001,381752.421
201,261CD,180438.122000001,387516.403999999
202,261CEA,181678.866,387360.651000001
203,261CP,188699.563000001,383609.839000002
204,261JAA,185194.43,390430.355
205,261JM,185363.827,388485.66
206,275HH,186719.59,381430.594999999
207,287DH,185257.013,377736.552000001
208,275BC,180507.890000001,383700.274999998
209,251CR,181893.822999999,395316.627
210,204CC,160775.377999999,409639.434
211,261BOA,186235.050000001,382949.006000001
212,204HFC,167538.013999999,413794.02
213,234CBC,166671.366999999,391941.473999999
214,234CPA,170483.059999999,394061.199999999
215,245BB,173635.188999999,400983.701000001
216,102CET,151370.510000002,415904.535
217,107FAS,181260.796999998,412515.307
218,204AB,157233.929000001,413877.151999999
219,204AI,160258.677299999,415151.219300002
220,204CP,163496.225000001,411237.592
221,211E,161490.153999999,408290.291000001
247,224A,163739.427999999,404894.614999998
248,114DCS,189162.563999999,401014.162000001
249,103HSL,162993.559700001,417645.849599998
250,108FTW,184283.375,405198.124000002
251,279B,177191.579999998,381478.399
252,287GA,186623.975000002,376111.927000001
253,292AA,180571.954,375264.908
254,275BD,179695.289000001,383539.585999999
255,275BE,179762.704,384248.072999999
256,114WMO,188767.795000002,402067.213
257,105AFT,175732.188999999,411978.816
258,AKW266,179518.23,418863.043000001
259,114A1,185407.556000002,395517.098000001
260,234VEL,173555.334800001,384380.8167
261,234BKS,168370.3706,392998.1833
262,234VDW,173522.984200001,384284.803100001
263,201F,170891.227000002,401119.375
264,102ROD,152560.341499999,418089.9822
265,251BKW,175938.257199999,398054.570900001
266,201M,175677.249000002,385561.342999998
267,251LVS,176595.372699998,397905.001800001
268,204BB,157569.057999998,409439.153999999
269,204CH,164520.674699999,409838.7236
270,204DB,163141.545000002,412493.853999998
271,261GBW,186387.4496,390371.203600001
272,320EIK,190686.2159,380253.160799999
273,261OKK,187113.377999999,390608.375500001
274,211MSH,172971.904599998,404869.173999999
275,242WMW,170880.827799998,401136.865499999
276,234BUS,172252.702599999,387647.5997
344,204L,167714.664999999,411552.09
345,107STW,180352.384,402519.489999998
346,110BHD,190614.278999999,404065.076000001
347,114CKS,187447.789000001,399016.228
348,217KEA,170021.074999999,396121.068
349,234AB,168434.089000002,399363.259
350,206EB,154656.817000002,407156.521000002
351,253A,173399.304000001,397875.748
352,254BRK,172333.028900001,395667.2304
353,103WBW,165900.065000001,417631.831
354,248AD,173730.164999999,399462.344999999
355,103BER,155400.098000001,415268.307
356,114BBA,184963.199999999,396899.397
357,114PPT,188332.467999998,402639.090999998
358,116KOR,148963.754999999,411228.460999999
359,201P,178756.026000001,378745.771000002
360,204BF,159282.335000001,410368.681000002
361,204CA,160625.2859,412506.801800001
362,204CKA,162575.4005,411085.065400001
363,204FP,170703.480999999,410644.537999999
364,204K,167416.923,411511.103999998
365,204O,168497.3464,411128.095199998
366,211EG,165928.925999999,408145.037000001
367,211HKA,171495.261999998,409351.899999998
368,211J,169695.763,405932.816
369,211JFA,174781.050999999,406679.094999999
370,211MI,175457.324999999,403451.993000001
277,AKW15D,194350.103999998,407435.734000001
278,292ZLB,180929.483800001,372191.189800002
279,PC0891180329155154,183631.413699999,386811.637600001
280,251LDW,176187.5517,397990.515000001
281,292VBN,182596.713,373298.026299998
282,234GGR,173307.427000001,385656.2608
283,204WSG,156831.170600001,410102.993999999
284,204BH,158259.348000001,410090.032000002
285,234LHA,170756.2553,391257.261100002
286,108ZTD,183576.75,406350.390000001
287,114P18,186302.386999998,397591.629999999
288,AKW286HV9,178680.8145,420043.485100001
289,108ST3,189194.995999999,405416.952
290,205KLM,155327.800099999,410230.5605
291,217BA,160977.454,405063.842
292,217EJ,167621.744199999,396945.793299999
293,279I,182175.774,378946.969
294,108AWS,183875.859000001,404106.824999999
295,275L,188135.015999999,374305.006999999
296,234PRR,170502.07,390678.379999999
297,108KFS,185316.556000002,406707.688999999
298,102SER,152282.806400001,415413.561999999
299,201LSE,156445.145300001,408190.118099999
300,205WAN,153821.382100001,411768.8763
301,205KAS,158614.355999999,407316.331
302,114OPL,191955.647999998,399817.134
303,201EPO,151307.7238,416910.015700001
304,201EPN,151315.089600001,416913.0277
305,201EPL,151330.002099998,416919.322900001
306,201EPK,151337.604800001,416922.532299999
307,253HEI,182216.623,391937.085999999
308,201EPI,151359.810199998,416931.906199999
309,201EPG,151374.414000001,416938.3499
310,201EPE,151388.845899999,416944.802000001
311,201EPD,151395.855900001,416947.936000001
312,253HUT,182404.833999999,391898.953000002
313,253HBW,177110.475000001,393005.177999999
314,V1KW115HV1,138011.636999998,408883.947999999
315,V1KW88HV1,140723.921,408894.385000002
316,V1KW56HV1,143892.692000002,408997.031
317,V1KW45HV1,145056.070999999,409007.717999999
318,204MRT,160958.605999999,408693.842
319,251JDB,179906.370999999,399120.263999999
320,280RKX,176764.921999998,381094.875
321,205KEL,158526.16,407310.122000001
322,234BDI,170860.100499999,386895.236200001
323,201WRG,153301.947999999,411664.662999999
324,201BSS,153973.677999999,411107.588
325,201OBW,153520.945999999,411284.401999999
326,108SFW,179216.954,418346.394000001
327,108PRW,179567.399,418163.989999998
328,108WWP,179180.096000001,417834.193999998
329,234CRA,169550.511,392759.596999999
330,113SBW,198483.234999999,400521.245000001
331,117MS,145864.449000001,414534.964000002
332,287DC,184424.885000002,376410.41
333,107P07,180988.653999999,410030.392999999
334,103KBC,166682.962000001,416918.943999998
335,114MRV,195068.2271,400539.470100001
336,205C,155040.585000001,411406.710000001
337,234CD,167293.704,391974.528999999
338,108EGW,179670.197999999,416351.213
339,234FC,175314.908,384706.844000001
340,114DMS,191545.932,400668.388
341,117HDW,145393.044599999,414705.799400002
342,217KAN,161856.535999998,404810.602000002
343,234PRD,172030.939199999,389489.403099999
425,204CIA,165681.603999998,410073.695
426,204CL,162363.4626,410442.603300001
427,204CLA,162661.195,409618.993999999
428,204CS,163530.776799999,409444.8303
429,204MB,168553.254000001,412091.416000001
430,104CUS,169239.3356,422628.3825
431,211HCB,169116.524,408240.153999999
432,211JD,172013.172800001,405933.051100001
433,211JE,172474.687199999,406423.545699999
434,211JM,171156.802999999,406617.916999999
435,211KAA,171413.984999999,404387.795000002
436,201BEU,153460.728999998,411235.339000002
437,211MD,173822.857000001,402994.096999999
438,201OBB,153463.715,411245.153999999
439,234CAA,170922.191,395999.873100001
440,204MA,168047.166000001,411912.732999999
441,211C,159709.081,408154.329999998
442,211JO,171922.664999999,406676.085999999
443,201BGK,153460.048999999,411229.381000001
444,201BSD,153461.355999999,411240.355
445,AKW178b,187938.335999999,418711.870000001
446,234G,173524.260000002,384295.274999998
447,234H,171831.057,382522.835000001
448,AKW178c,187938.715,418712.567000002
449,248K,179457.113000002,400335.355999999
450,251O,182719.142000001,395979.940000001
371,211MY,176666.511999998,402642.083999999
372,211N,172617.188000001,402110.602000002
373,235AA,168525.627999999,401115.638999999
374,245F,176260.559,401281.410999998
375,245G,176517.0,401220.443
376,246B,174108.787,400006.342
377,248JB,179026.145,399809.704999998
378,251LA,180957.085000001,395193.169
379,253I,177675.612,393057.230999999
380,253T,184893.195,391614.688000001
381,259A,173578.327,389280.048999999
382,245I,177063.033,401260.294
383,251CGA,177167.982000001,396331.710999999
384,253GC,179254.646000002,391482.181000002
385,261BIK,185639.673,383316.583999999
386,261BQ,187247.925999999,381895.837000001
387,261CN,187157.772999998,384842.317000002
388,261CS,185822.074000001,386052.441
389,261I,183623.385000002,389541.195999999
390,287B,180548.645,378170.077
391,238A,169753.142000001,400242.498
392,217E,163242.464000002,402444.706999999
393,254VWO,172382.447799999,396004.166200001
394,203IE,158817.657000002,406609.238000002
395,275PA,190250.852000002,375379.969999999
396,261MZW,177435.8378,389668.925000001
397,203K,156154.243999999,403476.794
398,217A,160806.155000001,406065.328000002
399,203N,157918.372000001,402268.666000001
400,240B,171069.195,399295.613000002
401,118VHL,143478.7227,412531.379999999
402,211LG,174634.465999998,404172.311000001
403,287DG,184771.057999998,378015.776999999
404,292AB,180351.015999999,374854.548
405,275JBA,188061.684999999,377802.653999999
406,251CQ,182444.329,395116.159000002
407,251NC,182448.988000002,396227.938999999
408,211MLF,178771.250999998,400976.923999999
409,251CJ,177997.776999999,396056.940000001
410,211LGA,174884.945999999,404416.269000001
411,217KE,166825.320999999,394160.677999999
412,234CPB,170421.888999999,393827.366999999
413,RHOLKW23HV1,146586.517999999,409850.1252
414,102CRB,148634.787,414520.978
415,117MPW,144679.059799999,411154.148699999
416,204RWG,168824.567000002,411258.491599999
417,108HGS,186278.030000001,410850.469000001
418,204EAS,169641.4866,411471.5911
419,114CHS,186978.940000001,398685.421999998
420,104BBN,178089.150199998,417588.511599999
421,104SCH,177524.5799,418155.923799999
422,204AC,159318.618099999,414640.597600002
423,204BD,158572.556000002,408751.988000002
424,204BJ,161087.175000001,413969.903000001
451,251P,183075.642000001,395409.044
452,253AA,176715.166200001,396350.415100001
453,253BB,176447.522999998,394232.028999999
454,261BP,186500.340999998,382091.936999999
455,261CQA,186934.852000002,387725.908
456,261CV,186733.603999998,385668.537000001
457,261FD,181153.285999998,388812.287999999
458,261FE,182033.901999999,388864.699999999
459,261JG,185836.333999999,390896.182
460,108GAR,182609.149,413280.774
461,275AB,178013.329999998,383271.971000001
462,275BA,180160.09,383394.578000002
463,275HE,187082.734000001,379666.640000001
464,280BDA,176398.419,377896.024300002
465,280E,175289.484999999,378765.59
466,294C,179276.1785,373592.846200001
467,294E,179008.887899999,372582.405200001
468,256AD,173821.478399999,393310.855000001
469,251OA,182966.853999998,395602.567000002
470,256AB,174759.4362,393157.758099999
471,110GGA,191142.659000002,409483.147300001
472,107PME,182093.085000001,411748.195999999
473,251CS,181194.993000001,395081.708999999
474,103JVL,163489.486000001,417962.067000002
523,211JCD,171044.659000002,405722.524999999
524,251CNA,177958.734999999,394354.186999999
525,102CQV,150105.373,415857.807
526,211BRA,166970.340999998,408997.620000001
527,104FRV,171150.938700002,418249.406800002
528,201I,172818.179000001,393758.758000001
529,201R,180029.802000001,375050.817000002
530,234SLD,171703.9531,387653.935699999
531,211MOT,171583.219999999,405842.986000001
532,261BIA,182748.563000001,383494.291999999
533,205KEE,158419.519000001,407325.682999998
534,261BIQ,183223.219999999,383378.199000001
535,251PLW,176883.557999998,397814.378800001
536,251LWS,176460.726399999,397983.326000001
537,234J,170892.467999998,381681.978
538,234BDF,170859.026700001,386738.6941
539,261CF,181777.833000001,387522.528999999
540,261CJ,185055.668000001,386748.793000001
541,275F,182940.177999999,380442.627
542,114GSD,191968.822999999,399923.552999999
543,287C,181636.379999999,378536.135000002
544,234BDG,170868.851599999,386747.952
545,234HTD,172053.919,387822.030000001
546,287H,186114.710000001,375548.833999999
547,292C,183170.243000001,375333.747000001
548,205HSS,158191.636,407477.114999998
549,201N,176265.945999999,383998.611000001
550,211JK,172397.1763,407147.1796
551,253BH,175043.704,394863.129000001
552,234PRG,171740.8475,389663.379900001
475,211LGB,174779.122000001,404317.094000001
476,114BBC,185247.447999999,397420.136999998
477,204BO,164741.502999999,414644.870999999
478,204DA,162728.465,413153.493000001
479,204FB,165020.752999999,411537.383000001
480,204FF,167984.48,410112.537
481,204FK,168509.443700001,410172.186299998
482,204FO,170110.159000002,410278.931000002
483,204HD,168380.516899999,413100.6994
484,204MD,168504.677000001,412388.140999999
485,205BA,153732.522999998,412138.855999999
486,211BA,159237.379000001,407770.035
487,211D,160587.225000002,408201.34
488,211HF,168470.072999999,408954.840999998
489,211JIA,173620.344000001,408066.357999999
490,211LH,175281.056000002,404431.728
491,287DJ,187127.881999999,377152.306000002
492,245B,173157.423999999,400373.031
493,251CKA,177724.637499999,394947.152800001
494,251CKB,178482.796,395315.465
495,251E,175385.261,398114.302999999
496,251JF,181337.528000001,398865.162999999
497,251U,186964.816,393088.875999998
498,253BA,175759.105,394060.438000001
499,275JA,186987.908,377489.659000002
500,205HSD,152882.263,411925.118999999
501,254BDB,172746.739700001,395442.273499999
502,254BDL,172253.815000001,395680.406599999
503,227CCA,169771.684999999,404011.127999999
504,108HTS,182284.425999999,402993.618999999
505,114MAR,195086.798999999,400528.313999999
506,114AVS,189476.029800002,398470.5077
507,203IB,159462.287999999,405236.659000002
508,108NOO,183844.456999999,407144.105
509,114MLD,194314.899999999,402964.267999999
510,110GG,191145.865499999,409486.697000001
511,253TA,185384.002900001,391904.858199999
512,256B,175152.6349,391958.846700002
513,261COA,188525.963,383670.833000001
514,261CU,186141.355,386456.379000001
515,261JC,186073.4815,392144.545200001
516,275E,181682.280000001,381690.013999999
517,275HB,187131.688000001,379504.59
518,287DI,186122.272,377197.146000002
519,287I,186692.739,375238.153000001
520,256AE,173780.7993,393034.132399999
521,110CCT,188621.318999998,403203.074999999
522,261CX,188073.261,385822.916000001
553,261BAF,177857.8411,389620.3838
554,217EA,166204.875999998,401094.820999999
555,232A,167067.351,401106.670000002
556,227D,167997.441,403768.138999999
557,112ESS,196113.989999998,403626.886999998
558,217GB,166282.857999999,400071.952
559,AKW286HV6,178686.983100001,420061.456900001
560,217PKD,161393.572000001,404927.291000001
561,108HOS,188780.943999998,404989.254000001
562,204CE,163512.017000001,411240.622000001
563,217CWG,169790.139600001,396872.616099998
564,107KLW,181950.739,401798.947000001
565,112A4,197055.101,399623.449000001
566,117MOE,144680.136500001,411153.196699999
567,103BES,153817.818999998,415745.809999999
568,108KAM,180988.57,414430.673
569,117GRO,146135.055599999,410090.737599999
570,201G,172219.039999999,400905.083000001
571,201Q,179683.822999999,378075.074000001
572,204BC,157947.914000001,409114.173
573,204BIA,158938.590999998,413008.147
574,204CTA,164327.541999999,408183.75
575,204VKS,165689.1259,414447.693599999
576,115LTH,161698.938999999,423755.091499999
577,234BUY,172259.613899998,387636.878899999
578,267VOB,176389.981699999,386517.458099999
579,201ZWV,156356.932300001,407970.713799998
580,201HAS,154175.690000001,411013.033500001
581,117GBB,146134.803199999,410091.730300002
582,117DTS,145277.925900001,409911.0693
583,HKW2a,141055.006900001,415222.5504
584,117DRS,145277.6494,409912.318999998
585,117RDD,143845.037900001,410683.881000001
586,275OTS,178464.782000002,383295.616
587,117RGD,143845.079700001,410684.997699998
653,201ASW,156641.1789,408118.202100001
654,114DZS,190011.624000002,402857.432999998
655,108CP,183644.272999998,406424.076000001
656,114VPW,190716.897999998,397187.407000002
657,203HE,157365.469999999,407213.162
658,108DZS,186033.2093,409218.139600001
659,250D,175232.574000001,398793.506999999
660,108HNS,189053.581999999,405115.324999999
